sample,site,date_start,date_end,time_start,time_end,type,material,vol_L,dinotefuran ,thiamethoxam ,clothianidin ,imidacloprid ,acetamiprid ,thiacloprid ,surrogate_percentrecovery_imidacloprid_d4
WS3247,basswood1,201505,,,,env,groundwater,0.147,nd,nd,nd,nd,nd,nd,90.4
WS3248,basswood6,201505,,,,env,groundwater,0.142,nd,nd,44.6,nd,nd,nd,83.8
WS3249,interim2,201505,,,,env,groundwater,0.144,nd,13,12.2,nd,nd,nd,92.2
WS3250,interim3,201505,,,,env,groundwater,0.145,nd,32.2,88.1,nd,nd,nd,105.2
WS3251,orbweaver1,201505,,,,env,groundwater,0.146,nd,nd,36.3,nd,nd,nd,98.1
WS3252,orbweaver3,201505,,,,env,groundwater,0.127,nd,nd,90.1,nd,nd,nd,110
WS3253,interim3,20150419,,16:09,16:52,env,runoffwater,0.1,nd,nd,143,95.6,nd,nd,96.1
WS3254,fieldblank,201505,,,,blank,water,0.147,nd,nd,nd,nd,nd,nd,106.2
WS3332,orbweaver3,20150607,,15:09,,env,runoffwater,0.06,nd,nd,51.9,37.7,nd,nd,92.7
WS3333,basswood6,20150607,,15:11,,env,runoffwater,0.055,nd,nd,40.1,nd,nd,nd,89.5
WS3417,orbweaver1,20150615,20150625,4:49,2:27,env,runoffwater,0.091,nd,nd,18.4,nd,nd,nd,100.9
WS3418,interim2,20150628,,5:21,6:41,env,runoffwater,0.064,nd,nd,nd,nd,nd,nd,70.4
WS3419,basswood1,20150615,20150625,4:49,1:28,env,runoffwater,0.063,nd,nd,nd,nd,nd,nd,72
WS3678,basswood6,20151120,,,,env,groundwater,0.148,nd,nd,35.9,nd,nd,nd,107.2
WS3679,interim2,20151120,,,,env,groundwater,0.14,nd,nd,nd,nd,nd,nd,114.2
WS3680,orbweaver3,20151120,,,,env,groundwater,0.134,nd,nd,72,nd,nd,nd,94.7
WS3681,basswood1,20151120,,,,env,groundwater,0.125,nd,nd,nd,nd,nd,nd,107.1
WS3682,interim3,20151120,,,,env,groundwater,0.147,nd,nd,13.7,nd,nd,nd,106.6
WS3683,orbweaver1,20151120,,,,env,groundwater,0.148,nd,nd,30.7,nd,nd,nd,107.8
WS3903,orbweaver1,201603,,,,env,groundwater,0.143,nd,nd,26.9,nd,nd,nd,89.6
WS3904,interim2,201603,,,,env,groundwater,0.134,nd,19.1,24.9,12.1,nd,nd,91.4
WS3905,interim3,201603,,,,env,groundwater,0.076,nd,nd,10.5,nd,nd,nd,99.8
WS3906,orbweaver3,201603,,,,env,groundwater,0.108,nd,nd,53.2,nd,nd,nd,94.4
WS3907,basswood1,201603,,,,env,groundwater,0.142,nd,26.1,8.9,18.1,nd,nd,93.8
WS3908,basswood6,201603,,,,env,groundwater,0.138,nd,nd,26,nd,nd,nd,89.1
WS4018,interim3,20160427,20160430,20:56,11:26,env,runoffwater,0.78,nd,44.3,62.1,35.5,nd,nd,73.6
WS4019,basswood6,20160430,,11:26,,env,runoffwater,0.172,nd,94.3,91.7,8.5,nd,nd,86.9
WS4020,interim2,20160430,,11:54,,env,runoffwater,0.095,nd,376,1222.3,nd,nd,nd,79.5